ticker,event_ticker,series_ticker,title,subtitle,category,status,close_time,yes_bid,yes_ask,no_bid,no_ask,last_price,volume,volume_24h,open_interest,liquidity,notional_value,yes_mid,prob_implied,spread,fetched_at
KXMENWORLDCUP-26-IRQ,KXMENWORLDCUP-26,,Will Iraq win the 2026 Men's World Cup?,,,finalized,2026-06-27T22:40:16Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-COD,KXMENWORLDCUP-26,,Will Congo DR win the 2026 Men's World Cup?,,,finalized,2026-07-01T18:20:03Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-BIH,KXMENWORLDCUP-26,,Will Bosnia and Herzegovina win the 2026 Men's World Cup?,,,finalized,2026-07-02T02:19:59Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-CZE,KXMENWORLDCUP-26,,Will Czechia win the 2026 Men's World Cup?,,,finalized,2026-06-25T14:26:08Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-PAN,KXMENWORLDCUP-26,,Will Panama win the 2026 Men's World Cup?,,,finalized,2026-06-24T16:12:18Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-HTI,KXMENWORLDCUP-26,,Will Haiti win the 2026 Men's World Cup?,,,finalized,2026-06-24T16:12:18Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-CUW,KXMENWORLDCUP-26,,Will Curacao win the 2026 Men's World Cup?,,,finalized,2026-06-27T22:40:16Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-CIV,KXMENWORLDCUP-26,,Will Ivory Coast win the 2026 Men's World Cup?,,,finalized,2026-06-30T19:09:55Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-QAT,KXMENWORLDCUP-26,,Will Qatar win the 2026 Men's World Cup?,,,finalized,2026-06-25T14:26:08Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-RSA,KXMENWORLDCUP-26,,Will South Africa win the 2026 Men's World Cup?,,,finalized,2026-06-28T21:26:30Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
KXMENWORLDCUP-26-CPV,KXMENWORLDCUP-26,,Will Cape Verde win the 2026 Men's World Cup?,,,active,2028-07-18T14:00:00Z,,,,,,,,,,,,,,2026-07-02T05:24:35Z
